gender,age_from,age_to,family,cnt,age,nrep,deathrate,portion,family_factor,agegroup,contacts_mean
f,35,35,verheiratet,279281.0,35,1,0.00041213,0.0033640526079186032,1,30,14.14
f,35,35,verheiratet_lp,1059.0,35,1,0.00041213,1.2756083341816309e-05,0,30,14.14
f,35,35,verwitwet,1371.0,35,1,0.00041213,1.6514249538838677e-05,0,30,14.14
f,35,35,verwitwet_lp,5.0,35,1,0.00041213,6.022702238817899e-08,0,30,14.14
f,36,36,geschieden,35868.0,36,1,0.0004585,0.00043204456780384076,0,30,14.14
f,36,36,geschieden_lp,384.0,36,1,0.0004585,4.6254353194121464e-06,0,30,14.14
f,36,36,ledig,187330.0,36,1,0.0004585,0.002256465620795514,0,30,14.14
f,36,36,verheiratet,297376.0,36,1,0.0004585,0.003582014201941423,1,30,14.14
f,36,36,verheiratet_lp,1103.0,36,1,0.0004585,1.3286081138832284e-05,0,30,14.14
f,36,36,verwitwet,1555.0,36,1,0.0004585,1.8730603962723666e-05,0,30,14.14
f,36,36,verwitwet_lp,6.0,36,1,0.0004585,7.227242686581479e-08,0,30,14.14
f,37,37,geschieden,39994.0,37,1,0.00047466,0.0004817439066785661,0,30,14.14
f,37,37,geschieden_lp,384.0,37,1,0.00047466,4.6254353194121464e-06,0,30,14.14
f,37,37,ledig,173032.0,37,1,0.00047466,0.0020842404275742774,0,30,14.14
f,37,37,verheiratet,305760.0,37,1,0.00047466,0.0036830028730819213,1,30,14.14
f,37,37,verheiratet_lp,1180.0,37,1,0.00047466,1.421357728361024e-05,0,30,14.14
f,37,37,verwitwet,1997.0,37,1,0.00047466,2.4054672741838688e-05,0,30,14.14
f,37,37,verwitwet_lp,6.0,37,1,0.00047466,7.227242686581479e-08,0,30,14.14
f,38,38,geschieden,44012.0,38,1,0.00060325,0.0005301423418697067,0,30,14.14
f,38,38,geschieden_lp,395.0,38,1,0.00060325,4.75793476866614e-06,0,30,14.14
f,38,38,ledig,162699.0,38,1,0.00060325,0.0019597752631068666,0,30,14.14
f,38,38,verheiratet,314730.0,38,1,0.00060325,0.0037910501512463143,1,30,14.14
f,38,38,verheiratet_lp,1289.0,38,1,0.00060325,1.5526526371672544e-05,0,30,14.14
f,38,38,verwitwet,2195.0,38,1,0.00060325,2.6439662828410575e-05,0,30,14.14
f,38,38,verwitwet_lp,9.0,38,1,0.00060325,1.0840864029872218e-07,0,30,14.14
f,39,39,geschieden,46374.0,39,1,0.00060115,0.0005585935872458825,0,30,14.14
f,39,39,geschieden_lp,392.0,39,1,0.00060115,4.721798555233232e-06,0,30,14.14
f,39,39,ledig,143519.0,39,1,0.00060115,0.001728744405225812,0,30,14.14
f,39,39,verheiratet,306285.0,39,1,0.00060115,0.0036893267104326803,1,30,14.14
f,39,39,verheiratet_lp,1237.0,39,1,0.00060115,1.490016533883548e-05,0,30,14.14
f,39,39,verwitwet,2592.0,39,1,0.00060115,3.1221688406031986e-05,0,30,14.14
f,39,39,verwitwet_lp,6.0,39,1,0.00060115,7.227242686581479e-08,0,30,14.14
f,40,40,geschieden,49030.0,40,1,0.0006857,0.0005905861815384832,0,40,13.83
f,40,40,geschieden_lp,413.0,40,1,0.0006857,4.974752049263584e-06,0,40,13.83
f,40,40,ledig,133485.0,40,1,0.0006857,0.0016078808166972143,0,40,13.83
f,40,40,verheiratet,306051.0,40,1,0.0006857,0.0036865080857849133,1,40,13.83
f,40,40,verheiratet_lp,1250.0,40,1,0.0006857,1.5056755597044747e-05,0,40,13.83
f,40,40,verwitwet,2987.0,40,1,0.0006857,3.5979623174698126e-05,0,40,13.83
f,40,40,verwitwet_lp,7.0,40,1,0.0006857,8.431783134345058e-08,0,40,13.83
f,41,41,geschieden,52475.0,41,1,0.00074026,0.0006320825999639385,0,40,13.83
f,41,41,geschieden_lp,352.0,41,1,0.00074026,4.239982376127801e-06,0,40,13.83
f,41,41,ledig,125218.0,41,1,0.00074026,0.0015083014578805992,0,40,13.83
f,41,41,verheiratet,305464.0,41,1,0.00074026,0.003679437433356541,1,40,13.83
f,41,41,verheiratet_lp,1232.0,41,1,0.00074026,1.4839938316447302e-05,0,40,13.83
f,41,41,verwitwet,3483.0,41,1,0.00074026,4.195414379560548e-05,0,40,13.83
f,41,41,verwitwet_lp,8.0,41,1,0.00074026,9.636323582108638e-08,0,40,13.83
f,42,42,geschieden,55634.0,42,1,0.00079376,0.00067013403270879,0,40,13.83
f,42,42,geschieden_lp,351.0,42,1,0.00079376,4.227936971650165e-06,0,40,13.83
f,42,42,ledig,115121.0,42,1,0.00079376,0.0013866790088699107,0,40,13.83
f,42,42,verheiratet,304235.0,42,1,0.00079376,0.003664633631253527,1,40,13.83
f,42,42,verheiratet_lp,1104.0,42,1,0.00079376,1.3298126543309921e-05,0,40,13.83
f,42,42,verwitwet,3862.0,42,1,0.00079376,4.651935209262945e-05,0,40,13.83
f,42,42,verwitwet_lp,11.0,42,1,0.00079376,1.3249944925399378e-07,0,40,13.83
f,43,43,geschieden,57179.0,43,1,0.00090807,0.0006887441826267372,0,40,13.83
f,43,43,geschieden_lp,319.0,43,1,0.00090807,3.842484028365819e-06,0,40,13.83
f,43,43,ledig,105007.0,43,1,0.00090807,0.0012648517879831022,0,40,13.83
f,43,43,verheiratet,298770.0,43,1,0.00090807,0.003598805495783247,1,40,13.83
f,43,43,verheiratet_lp,1026.0,43,1,0.00090807,1.2358584994054328e-05,0,40,13.83
f,43,43,verwitwet,4422.0,43,1,0.00090807,5.3264778600105494e-05,0,40,13.83
f,43,43,verwitwet_lp,12.0,43,1,0.00090807,1.4454485373162958e-07,0,40,13.83
f,44,44,geschieden,61883.0,44,1,0.00097058,0.000745405765289536,0,40,13.83
f,44,44,geschieden_lp,303.0,44,1,0.00097058,3.6497575567236465e-06,0,40,13.83
f,44,44,ledig,101033.0,44,1,0.00097058,0.0012169833505889776,0,40,13.83
f,44,44,verheiratet,304945.0,44,1,0.00097058,0.003673185868432648,1,40,13.83
f,44,44,verheiratet_lp,1116.0,44,1,0.00097058,1.3442671397041549e-05,0,40,13.83
