"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","1","males","Y61","61 years","99","total","2019","2019",379237,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y61","61 years","99","total","2019","2019",407950,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y61","61 years","99","total","2019","2019",787187,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y62","62 years","99","total","2019","2019",370092,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y62","62 years","99","total","2019","2019",399412,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y62","62 years","99","total","2019","2019",769504,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y63","63 years","99","total","2019","2019",361456,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y63","63 years","99","total","2019","2019",391766,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y63","63 years","99","total","2019","2019",753222,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y64","64 years","99","total","2019","2019",353630,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y64","64 years","99","total","2019","2019",386015,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y64","64 years","99","total","2019","2019",739645,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y65","65 years","99","total","2019","2019",337030,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y65","65 years","99","total","2019","2019",366337,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y65","65 years","99","total","2019","2019",703367,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y66","66 years","99","total","2019","2019",329091,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y66","66 years","99","total","2019","2019",360961,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y66","66 years","99","total","2019","2019",690052,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y67","67 years","99","total","2019","2019",358796,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y67","67 years","99","total","2019","2019",684817,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y67","67 years","99","total","2019","2019",326021,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y68","68 years","99","total","2019","2019",335576,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y68","68 years","99","total","2019","2019",370867,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y68","68 years","99","total","2019","2019",706443,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y69","69 years","99","total","2019","2019",334885,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y69","69 years","99","total","2019","2019",371409,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y69","69 years","99","total","2019","2019",706294,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y70","70 years","99","total","2019","2019",345450,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y70","70 years","99","total","2019","2019",386648,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y70","70 years","99","total","2019","2019",732098,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y71","71 years","99","total","2019","2019",334480,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y71","71 years","99","total","2019","2019",376074,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y71","71 years","99","total","2019","2019",710554,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y72","72 years","99","total","2019","2019",329138,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y72","72 years","99","total","2019","2019",374945,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y72","72 years","99","total","2019","2019",704083,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y73","73 years","99","total","2019","2019",250058,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y73","73 years","99","total","2019","2019",288899,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y73","73 years","99","total","2019","2019",538957,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y74","74 years","99","total","2019","2019",252298,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y74","74 years","99","total","2019","2019",295862,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y74","74 years","99","total","2019","2019",548160,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y75","75 years","99","total","2019","2019",247942,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y75","75 years","99","total","2019","2019",297872,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y75","75 years","99","total","2019","2019",545814,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y76","76 years","99","total","2019","2019",240784,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y76","76 years","99","total","2019","2019",293801,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y76","76 years","99","total","2019","2019",534585,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y77","77 years","99","total","2019","2019",235498,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y77","77 years","99","total","2019","2019",293251,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y77","77 years","99","total","2019","2019",528749,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y78","78 years","99","total","2019","2019",251556,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y78","78 years","99","total","2019","2019",319318,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y78","78 years","99","total","2019","2019",570874,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y79","79 years","99","total","2019","2019",239796,"p","provisional data"
